entry_dt,exit_dt,side,entry,exit,tp,sl,result,pnl_pct,hold
2025-12-03 02:15:00+00:00,2025-12-03 04:15:00+00:00,short,92761.0,93358.25458432188,91739.955,93358.25458432188,loss,-2.0516,8
2025-12-05 09:45:00+00:00,2025-12-05 13:15:00+00:00,long,91086.4,90712.09271491315,91941.43,90712.09271491315,loss,-1.3528,14
2025-12-12 16:00:00+00:00,2025-12-13 16:00:00+00:00,long,89927.4,90150.0,91850.38500000001,89318.30997598713,timeout,0.6226,96
2025-12-16 10:45:00+00:00,2025-12-16 12:45:00+00:00,short,86932.1,87375.8765111412,86321.15,87375.8765111412,loss,-1.6515,8
2025-12-21 08:45:00+00:00,2025-12-21 09:00:00+00:00,short,88509.0,88694.15756703838,88137.885,88694.15756703838,loss,-0.7476,1
2025-12-22 08:30:00+00:00,2025-12-22 12:15:00+00:00,short,89706.9,90101.76214379295,88988.515,90101.76214379295,loss,-1.4405,15
2025-12-25 15:45:00+00:00,2025-12-25 20:15:00+00:00,short,88338.9,87656.905,87656.905,88630.30022507842,win,2.1961,18
2025-12-30 08:15:00+00:00,2025-12-30 10:00:00+00:00,short,87788.5,88080.1729673797,87388.545,88080.1729673797,loss,-1.1167,7
2026-01-01 17:45:00+00:00,2026-01-01 22:00:00+00:00,short,88281.3,88464.73270911092,87978.215,88464.73270911092,loss,-0.7433,17
2026-01-06 16:45:00+00:00,2026-01-06 17:30:00+00:00,long,92651.3,92110.91891565821,93627.795,92110.91891565821,loss,-1.8697,3
2026-01-08 07:00:00+00:00,2026-01-08 14:15:00+00:00,long,90008.8,89593.13808724983,90745.735,89593.13808724983,loss,-1.5054,29
2026-01-12 01:15:00+00:00,2026-01-12 02:15:00+00:00,short,91476.0,91877.51737138377,90814.47,91877.51737138377,loss,-1.4368,4
2026-01-12 08:45:00+00:00,2026-01-12 14:15:00+00:00,long,90714.0,90275.37180350578,91755.01000000001,90275.37180350578,loss,-1.5706,22
2026-01-16 15:45:00+00:00,2026-01-16 20:45:00+00:00,long,94537.5,95270.785,95270.785,94087.22590663756,win,2.207,20
2026-01-19 23:15:00+00:00,2026-01-20 04:15:00+00:00,long,92505.3,92190.57743674942,92946.185,92190.57743674942,loss,-1.1407,20
2026-02-01 15:30:00+00:00,2026-02-01 18:00:00+00:00,long,77139.3,78200.64,78200.64,76471.65337287796,win,4.0076,10
2026-02-07 07:15:00+00:00,2026-02-08 07:15:00+00:00,long,67977.3,69422.4,70192.12,67114.24200906322,timeout,6.2576,96
2026-02-14 08:15:00+00:00,2026-02-14 08:45:00+00:00,short,69460.6,69700.68520378364,68942.81,69700.68520378364,loss,-1.1569,2
2026-02-15 13:00:00+00:00,2026-02-15 13:15:00+00:00,long,69472.6,69066.48022148696,70276.62999999999,69066.48022148696,loss,-1.8737,1
2026-02-16 12:30:00+00:00,2026-02-16 12:45:00+00:00,short,69405.4,69789.85625361666,68815.88,69789.85625361666,loss,-1.7818,1
2026-02-16 13:00:00+00:00,2026-02-16 13:15:00+00:00,short,69631.2,68931.18000000001,68931.18000000001,70067.30743296539,win,2.896,1
2026-02-21 09:30:00+00:00,2026-02-21 14:15:00+00:00,short,68160.9,68342.40272490212,67882.62999999999,68342.40272490212,loss,-0.9189,19
2026-02-22 13:45:00+00:00,2026-02-22 14:30:00+00:00,long,67622.4,67432.69485213739,67992.37000000001,67432.69485213739,loss,-0.9616,3
2026-02-25 13:00:00+00:00,2026-02-25 13:30:00+00:00,short,66015.1,66370.3720496779,65503.185,66370.3720496779,loss,-1.7345,2
2026-02-27 10:30:00+00:00,2026-02-27 11:15:00+00:00,long,66778.0,66353.28858925527,67558.29,66353.28858925527,loss,-2.028,3
