month,trades,total_pnl,avg_pnl
2023-01,6,-4.126,-0.688
2023-02,1,5.683,5.683
2023-03,3,5.277,1.759
2023-04,5,-8.395,-1.679
2023-05,5,-7.764,-1.553
2023-06,2,-7.086,-3.543
2023-07,5,6.508,1.302
2023-08,7,-26.237,-3.748
2023-09,7,-1.018,-0.145
2023-10,4,-4.189,-1.047
2023-11,3,9.431,3.144
2023-12,5,1.944,0.389
2024-01,6,-17.324,-2.887
2024-02,6,-1.051,-0.175
2024-03,9,-1.219,-0.135
2024-04,7,-11.777,-1.682
2024-05,5,-1.299,-0.26
2024-06,3,1.545,0.515
2024-07,9,3.412,0.379
2024-08,10,4.59,0.459
2024-09,8,-3.841,-0.48
2024-10,3,-3.705,-1.235
2024-11,6,6.56,1.093
2024-12,5,24.811,4.962
2025-01,10,18.619,1.862
2025-02,9,-52.514,-5.835
2025-03,6,3.12,0.52
2025-04,8,8.206,1.026
2025-05,3,0.529,0.176
2025-06,7,4.792,0.685
2025-07,7,9.685,1.384
2025-08,3,2.826,0.942
2025-09,6,-1.619,-0.27
2025-10,10,3.213,0.321
2025-11,6,8.907,1.484
2025-12,5,2.132,0.426
