ema_period,mode,leverage,pos_ratio,trades,long_trades,short_trades,win_rate,return_pct,max_drawdown,calmar
200,long_only,5,1.0,26,26,0,23.1,503.62,60.99,8.26
200,long_only,3,1.0,26,26,0,23.1,462.13,41.96,11.01
150,long_only,3,1.0,23,23,0,34.8,439.59,47.2,9.31
150,long_only,5,1.0,23,23,0,34.8,429.03,67.66,6.34
200,long_only,5,0.5,26,26,0,23.1,406.78,36.19,11.24
150,long_only,5,0.5,23,23,0,34.8,393.5,40.85,9.63
200,long_only,2,1.0,26,26,0,23.1,336.02,29.98,11.21
150,long_only,2,1.0,23,23,0,34.8,329.57,33.95,9.71
200,long_only,3,0.5,26,26,0,23.1,253.87,23.28,10.91
150,long_only,3,0.5,23,23,0,34.8,251.78,26.44,9.52
200,long_short,2,1.0,52,26,26,15.4,216.49,57.7,3.75
200,long_short,5,0.5,52,26,26,15.4,211.08,67.93,3.11
250,long_only,3,1.0,20,20,0,25.0,197.74,45.74,4.32
200,long_short,3,0.5,52,26,26,15.4,195.38,46.7,4.18
250,long_only,5,0.5,20,20,0,25.0,194.89,39.11,4.98
200,long_short,3,1.0,52,26,26,15.4,184.75,76.15,2.43
250,long_only,2,1.0,20,20,0,25.0,179.03,32.06,5.58
150,long_short,2,1.0,46,23,23,21.7,177.8,60.12,2.96
150,long_short,3,0.5,46,23,23,21.7,171.69,49.44,3.47
150,long_only,1,1.0,23,23,0,34.8,165.95,18.31,9.06
150,long_only,2,0.5,23,23,0,34.8,165.95,18.31,9.06
200,long_only,1,1.0,26,26,0,23.1,165.88,16.07,10.32
200,long_only,2,0.5,26,26,0,23.1,165.88,16.07,10.32
150,long_short,5,0.5,46,23,23,21.7,158.59,68.72,2.31
250,long_only,3,0.5,20,20,0,25.0,149.72,24.61,6.08
200,long_short,1,1.0,52,26,26,15.4,146.87,33.99,4.32
200,long_short,2,0.5,52,26,26,15.4,146.87,33.99,4.32
150,long_short,2,0.5,46,23,23,21.7,136.03,36.23,3.75
150,long_short,1,1.0,46,23,23,21.7,136.03,36.23,3.75
150,long_short,3,1.0,46,23,23,21.7,122.49,76.48,1.6
250,long_only,5,1.0,20,20,0,25.0,116.64,68.06,1.71
250,long_only,1,1.0,20,20,0,25.0,107.97,16.77,6.44
250,long_only,2,0.5,20,20,0,25.0,107.97,16.77,6.44
150,long_only,1,0.5,23,23,0,34.8,79.33,9.51,8.34
200,long_only,1,0.5,26,26,0,23.1,78.81,8.32,9.47
200,long_short,1,0.5,52,26,26,15.4,77.16,18.59,4.15
150,long_short,1,0.5,46,23,23,21.7,74.39,19.96,3.73
250,long_short,1,1.0,40,20,20,17.5,57.11,39.27,1.45
250,long_short,2,0.5,40,20,20,17.5,57.11,39.27,1.45
250,long_only,1,0.5,20,20,0,25.0,56.51,8.56,6.6
250,long_short,3,0.5,40,20,20,17.5,51.75,53.52,0.97
250,long_short,1,0.5,40,20,20,17.5,40.05,21.63,1.85
250,long_short,2,1.0,40,20,20,17.5,30.61,64.9,0.47
200,long_short,5,1.0,52,26,26,15.4,15.22,93.89,0.16
250,long_short,5,0.5,40,20,20,17.5,2.01,73.89,0.03
250,long_short,3,1.0,40,20,20,17.5,-27.02,82.34,-0.33
150,long_short,5,1.0,46,23,23,21.7,-35.37,94.4,-0.37
250,long_short,5,1.0,40,20,20,17.5,-92.06,98.84,-0.93
