mode,leverage,pos_ratio,trades,long_trades,short_trades,win_rate,return_pct,max_drawdown,calmar,sma_fast,sma_slow
long_only,3,1.0,6,6,0,66.7,946.93,48.4,19.57,20,150
long_only,3,1.0,4,4,0,100.0,840.64,49.25,17.07,20,200
long_only,2,1.0,6,6,0,66.7,488.97,36.94,13.24,20,150
long_only,3,1.0,4,4,0,75.0,486.17,54.46,8.93,50,150
long_only,2,1.0,4,4,0,100.0,437.31,38.33,11.41,20,200
long_only,3,0.5,6,6,0,66.7,318.35,31.8,10.01,20,150
long_only,2,1.0,4,4,0,75.0,293.42,43.79,6.7,50,150
long_only,3,0.5,4,4,0,100.0,287.32,33.08,8.69,20,200
long_only,3,1.0,4,4,0,75.0,222.53,71.16,3.13,50,200
long_only,3,0.5,4,4,0,75.0,206.21,36.96,5.58,50,150
long_only,2,0.5,6,6,0,66.7,182.44,25.39,7.19,20,150
long_only,1,1.0,6,6,0,66.7,182.44,25.39,7.19,20,150
long_only,2,1.0,4,4,0,75.0,166.99,57.47,2.91,50,200
long_only,2,0.5,4,4,0,100.0,166.77,26.16,6.38,20,200
long_only,1,1.0,4,4,0,100.0,166.77,26.16,6.38,20,200
long_only,3,1.0,4,4,0,75.0,164.08,74.12,2.21,100,200
long_only,2,1.0,4,4,0,75.0,137.22,55.81,2.46,100,200
long_only,3,1.0,6,6,0,50.0,130.12,63.12,2.06,100,150
long_only,3,0.5,4,4,0,75.0,128.69,48.51,2.65,50,200
long_only,1,1.0,4,4,0,75.0,127.45,28.39,4.49,50,150
long_only,2,0.5,4,4,0,75.0,127.45,28.39,4.49,50,150
long_only,3,0.5,4,4,0,75.0,109.24,44.76,2.44,100,200
long_only,2,1.0,6,6,0,50.0,107.95,48.87,2.21,100,150
long_only,3,0.5,6,6,0,50.0,88.03,39.77,2.21,100,150
long_only,1,1.0,4,4,0,75.0,86.7,37.18,2.33,50,200
long_only,2,0.5,4,4,0,75.0,86.7,37.18,2.33,50,200
long_short,3,0.5,12,6,6,41.7,80.89,54.03,1.5,20,150
long_only,1,0.5,6,6,0,66.7,77.6,16.34,4.75,20,150
long_only,2,0.5,4,4,0,75.0,75.4,32.06,2.35,100,200
long_only,1,1.0,4,4,0,75.0,75.4,32.06,2.35,100,200
long_only,1,0.5,4,4,0,100.0,72.11,18.01,4.0,20,200
long_short,2,0.5,12,6,6,41.7,71.41,39.6,1.8,20,150
long_short,1,1.0,12,6,6,41.7,71.41,39.6,1.8,20,150
long_short,3,0.5,8,4,4,62.5,71.4,53.57,1.33,20,200
long_short,2,1.0,12,6,6,41.7,66.49,66.44,1.0,20,150
long_only,2,0.5,6,6,0,50.0,62.81,28.94,2.17,100,150
long_only,1,1.0,6,6,0,50.0,62.81,28.94,2.17,100,150
long_short,1,1.0,8,4,4,62.5,62.56,39.21,1.6,20,200
long_short,2,0.5,8,4,4,62.5,62.56,39.21,1.6,20,200
long_short,2,1.0,8,4,4,62.5,60.71,65.93,0.92,20,200
long_only,1,0.5,4,4,0,75.0,58.41,16.92,3.45,50,150
long_only,1,0.5,4,4,0,75.0,43.16,22.0,1.96,50,200
long_short,1,0.5,12,6,6,41.7,41.97,23.42,1.79,20,150
long_only,1,0.5,4,4,0,75.0,38.24,18.34,2.08,100,200
long_short,1,0.5,8,4,4,62.5,37.1,21.9,1.69,20,200
long_only,1,0.5,6,6,0,50.0,33.1,15.9,2.08,100,150
long_short,1,0.5,8,4,4,50.0,11.89,32.03,0.37,50,150
long_short,2,0.5,8,4,4,50.0,4.14,53.93,0.08,50,150
long_short,1,1.0,8,4,4,50.0,4.14,53.93,0.08,50,150
long_short,1,0.5,8,4,4,50.0,-9.51,38.06,-0.25,50,200
long_short,1,0.5,8,4,4,37.5,-14.71,42.35,-0.35,100,200
long_short,3,1.0,8,4,4,62.5,-16.46,86.77,-0.19,20,200
long_short,3,0.5,8,4,4,50.0,-20.22,70.01,-0.29,50,150
long_short,1,0.5,12,6,6,41.7,-22.29,41.23,-0.54,100,150
long_short,3,1.0,12,6,6,41.7,-24.01,87.38,-0.27,20,150
long_short,1,1.0,8,4,4,50.0,-33.79,63.05,-0.54,50,200
long_short,2,0.5,8,4,4,50.0,-33.79,63.05,-0.54,50,200
long_short,2,0.5,8,4,4,37.5,-41.49,68.53,-0.61,100,200
long_short,1,1.0,8,4,4,37.5,-41.49,68.53,-0.61,100,200
long_short,1,1.0,12,6,6,41.7,-52.22,68.21,-0.77,100,150
long_short,2,0.5,12,6,6,41.7,-52.22,68.21,-0.77,100,150
long_short,2,1.0,8,4,4,50.0,-53.59,82.28,-0.65,50,150
long_short,3,0.5,8,4,4,50.0,-62.98,80.33,-0.78,50,200
long_short,3,0.5,8,4,4,37.5,-71.2,86.21,-0.83,100,200
long_short,3,0.5,12,6,6,41.7,-78.65,88.66,-0.89,100,150
long_short,2,1.0,8,4,4,50.0,-87.76,93.69,-0.94,50,200
long_short,2,1.0,12,6,6,41.7,-95.02,98.1,-0.97,100,150
long_short,2,1.0,8,4,4,37.5,-95.89,103.69,-0.92,100,200
long_short,3,1.0,8,4,4,50.0,-99.89,99.97,-1.0,50,150
long_short,3,1.0,6,3,3,50.0,-100.0,115.97,-0.86,100,150
long_short,3,1.0,2,1,1,50.0,-100.0,100.8,-0.99,50,200
long_short,3,1.0,4,2,2,50.0,-100.0,120.3,-0.83,100,200
