lookback,leverage,pos_ratio,trades,win_rate,return_pct,max_drawdown,calmar
6,2,0.5,34,52.9,63.31,56.59,1.12
6,1,1.0,34,52.9,63.31,56.59,1.12
6,3,0.5,34,52.9,46.75,73.5,0.64
6,1,0.5,34,52.9,43.42,32.99,1.32
3,1,0.5,33,45.5,5.17,43.31,0.12
2,1,0.5,34,47.1,4.17,34.52,0.12
6,2,1.0,34,52.9,-0.44,85.34,-0.01
1,1,0.5,31,45.2,-11.76,38.75,-0.3
2,2,0.5,34,47.1,-17.21,60.57,-0.28
2,1,1.0,34,47.1,-17.21,60.57,-0.28
3,1,1.0,33,45.5,-19.12,71.03,-0.27
3,2,0.5,33,45.5,-19.12,71.03,-0.27
1,1,1.0,31,45.2,-34.39,65.88,-0.52
1,2,0.5,31,45.2,-34.39,65.88,-0.52
2,3,0.5,34,47.1,-50.24,78.74,-0.64
3,3,0.5,33,45.5,-56.01,87.28,-0.64
1,3,0.5,31,45.2,-59.51,83.06,-0.72
2,2,1.0,34,47.1,-78.49,90.23,-0.87
1,2,1.0,31,45.2,-80.09,92.81,-0.86
3,2,1.0,33,45.5,-85.04,95.7,-0.89
6,3,1.0,34,52.9,-91.11,98.09,-0.93
1,3,1.0,31,45.2,-98.67,99.54,-0.99
2,3,1.0,34,47.1,-99.34,99.53,-1.0
3,3,1.0,1,0.0,-100.0,114.88,-0.87
