coin,year,bbrsi,switch,bh
BTC,2017,-32.75,394.23,215.3
BTC,2018,-47.1,-40.14,-72.4
BTC,2019,-13.78,210.27,94.8
BTC,2020,55.17,354.81,300.3
BTC,2021,60.7,-40.09,57.9
BTC,2022,12.67,-39.02,-64.7
BTC,2023,3.86,-1.15,155.8
BTC,2024,23.31,144.81,121.1
BTC,2025,72.86,120.95,-6.6
BTC,2026(YTD),11.12,10.36,-24.8
ETH,2017,0.0,96.46,138.3
ETH,2018,-15.75,-59.53,-82.1
ETH,2019,-9.81,74.62,-1.6
ETH,2020,-2.88,715.55,465.6
ETH,2021,-15.7,49.56,393.6
ETH,2022,61.51,49.38,-67.9
ETH,2023,5.8,-56.61,91.1
ETH,2024,17.03,55.33,46.8
ETH,2025,42.7,182.79,-11.4
ETH,2026(YTD),-0.15,2.63,-34.0
XRP,2018,-25.47,-51.16,-62.0
XRP,2019,43.25,-2.16,-44.7
XRP,2020,-12.79,183.63,13.2
XRP,2021,4.51,108.89,265.0
XRP,2022,12.19,-52.1,-59.7
XRP,2023,0.32,-14.86,82.1
XRP,2024,12.59,-63.39,239.9
XRP,2025,47.06,-14.38,-12.6
XRP,2026(YTD),7.21,-2.46,-25.4
